Bios,Movies,TV,Religion,Music,Sports,Books,Politics,Gender,Age
Freelance entrepreneur. Hardcore bacon guru. Subtly charming problem solver. Tv nerd. General social media advocate. Zombie buff.,0,8,1,5,4,9,9,0,16
Evil zombie fanatic. Award-winning social media scholar. Web evangelist. Alcohol buff. Food nerd. Avid beer maven. Writer.,6,5,4,5,2,1,2,1,28
Friendly twitter trailblazer. Pop cultureaholic. Travel buff. Friend of animals everywhere.,6,5,5,1,5,5,8,1,33
Hardcore twitter evangelist. Evil coffee junkie. Social media maven. Problem solver. Subtly charming food fanatic.,4,7,6,2,7,5,1,1,20
Freelance music practitioner. Typical travel enthusiast. Troublemaker. Social media trailblazer.,4,0,3,4,9,6,7,0,28
Internet fan. Avid tv maven. Communicator. Certified coffee ninja. Social media enthusiast. Explorer.,6,0,0,0,6,3,1,1,28
Professional pop culture advocate. Zombie guru. Coffee ninja. Devoted social media fan. Incurable analyst.,2,2,9,9,5,0,2,0,33
Music evangelist. Certified problem solver. Reader. Subtly charming alcohol buff. Travel junkie.,5,0,7,2,2,4,7,0,19
Unapologetic music evangelist. Typical creator. Unable to type with boxing gloves on. Coffee geek. Friendly analyst.,8,7,4,4,1,0,2,1,33
Professional pop culture fanatic. Hardcore coffee ninja. Proud writer. Zombie aficionado. Alcohol enthusiast.,2,0,1,3,1,9,0,1,22
Friendly zombie scholar. Extreme beer guru. Unapologetic analyst. Certified internet geek.,9,7,7,2,1,9,1,1,21
Introvert. Friendly pop culture buff. Typical food geek. Organizer. Reader.,6,8,0,3,4,9,9,0,31
Proud social media fan. Hipster-friendly analyst. Communicator. Student. Tv practitioner.,2,3,3,2,4,2,2,0,26
Thinker. Total gamer. Wannabe twitter scholar. Infuriatingly humble social media lover. Tv junkie.,2,6,1,8,9,6,5,1,19
Introvert. Tv junkie. Alcohol practitioner. General social media evangelist. Wannabe problem solver. Pop culture guru.,7,2,0,6,9,0,4,1,34
Freelance entrepreneur. Hardcore bacon guru. Subtly charming problem solver. Tv nerd. General social media advocate. Zombie buff.,6,4,1,8,6,4,9,1,30
